Id,Position,First Name,Last Name,Expected Points,Salary,Team,Opponent
22065,TE,Rhett,Ellison,0.3,4500,MIN,DEN
11635,WR,Marc,Mariani,0,4500,CHI,OAK
12548,D,San Diego,Chargers,3.7,4400,SD,CLE
12540,D,Minnesota,Vikings,9.7,4400,MIN,DEN
12538,D,St Louis,Rams,10,4400,STL,ARI
12535,D,Indianapolis,Colts,5.3,4400,IND,JAC
12536,D,Kansas City,Chiefs,6,4300,KC,CIN
12532,D,Detroit,Lions,7,4300,DET,SEA
12525,D,Atlanta,Falcons,4,4200,ATL,HOU
12543,D,New York,Giants,8.7,4200,NYG,BUF
12552,D,Washington,Redskins,6.3,4100,WAS,PHI
12527,D,Chicago,Bears,1.3,4100,CHI,OAK
12549,D,San Francisco,49ers,4,4000,SF,GB
12551,D,Tampa Bay,Buccaneers,5.7,4000,TB,CAR
12554,D,Jacksonville,Jaguars,2.7,4000,JAC,IND
